un ordi|veut dire ordinateur
un robot|signifie une machine automatique
tokyo|c'est la capitale du japon
match|Rencontre sportive entre deux équipes ou adversaires.
but|Action de marquer un point au football ou au hockey.
course|Action de courir pour aller vite.
équipe|Groupe de personnes qui jouent ou travaillent ensemble.
stade|Grand terrain aménagé pour les sports.
ballon|Objet rond et gonflé qu'on lance ou tape.
arbitre|Personne qui fait respecter les règles.
entraîneur|Personne qui prépare et guide les sportifs.
compétition|Épreuve où on essaie de gagner.
record|Meilleure performance jamais réalisée.
repas|Moment où on mange, généralement trois fois par jour.
pain|Aliment cuit à base de farine, d'eau et de levure.
viande|Chair des animaux qu'on consomme.
légume|Plante potagère qu'on mange.
fruit|Aliment sucré issu des arbres ou des plantes.
café|Boisson chaude et stimulante faite à partir de graines.
fromage|Produit laitier fermenté, souvent affiné.
chocolat|Douceur faite à base de cacao et de sucre.
cuisine|Pièce où on prépare les repas.
recette|Liste des ingrédients et instructions pour cuisiner.
valise|Bagage pour transporter ses affaires en voyage.
avion|Véhicule qui vole dans le ciel.
hôtel|Établissement où on dort contre de l'argent.
plage|Bord de mer ou de lac avec du sable.
montagne|Relief naturel très élevé.
carte|Plan géographique pour s'orienter.
pays|Territoire délimité par des frontières.
voyager|Se déplacer d'un endroit à un autre.
touriste|Personne qui visite un lieu pour le plaisir.
aventure|Expérience nouvelle et excitante.
chanson|Mélodie chantée avec des paroles.
guitare|Instrument à cordes qu'on gratte.
rythme|Battement régulier de la musique.
concert|Spectacle musical public.
artiste|Personne qui crée ou interprète de la musique.
paroles|Texte d'une chanson.
instrument|Objet utilisé pour faire de la musique.
chanteur|Personne qui chante.
mélodie|Suite de notes agréables à l'oreille.
festival|Événement musical avec plusieurs artistes.
livre|Ensemble de pages reliées contenant un texte.
film|Histoire racontée en images animées.
musée|Lieu où sont exposées des œuvres d'art.
peinture|Art de représenter avec des couleurs.
théâtre|Spectacle joué par des comédiens.
traditions|Coutumes transmises de génération en génération.
histoire|Récit des événements du passé.
poésie|Art d'écrire des vers.
sculpture|Art de tailler ou modeler des formes.
patrimoine|Ensemble des biens culturels d'un pays.
bureau|Lieu où on travaille assis à un bureau.
patron|Chef ou propriétaire d'une entreprise.
collègue|Personne qui travaille avec nous.
salaire|Somme d'argent reçue en échange du travail.
réunion|Rassemblement pour discuter de sujets professionnels.
ordinateur|Machine électronique utilisée pour travailler.
télétravail|Travailler depuis son domicile.
objectif|But à atteindre dans le travail.
contrat|Document signé qui fixe les règles.
formation|Période d'apprentissage pour se perfectionner.
médecin|Professionnel qui soigne les gens.
sommeil|Période de repos nocturne.
sport|Activité physique pratiquée pour rester en forme.
alimentation|Ce qu'on mange pour se nourrir.
douleur|Sensation désagréable dans le corps.
médicament|Substance utilisée pour guérir.
stress|Tension nerveuse due à la pression.
fatigue|État de grande lassitude, besoin de repos.
hygiène|Ensemble des pratiques pour rester propre et en bonne santé.
bien-être|État agréable de santé physique et mentale.
optimiste|Personne qui voit le bon côté des choses.
pessimiste|Personne qui voit plutôt le mauvais côté.
patient|Personne qui sait attendre sans s'énerver.
généreux|Personne qui donne facilement aux autres.
audacieux|Personne qui ose faire des choses risquées.
timide|Personne réservée, qui ose peu parler.
franc|Personne qui dit ce qu'elle pense.
introverti|Personne qui préfère être seule ou avec peu de monde.
extraverti|Personne qui aime être entourée et sociable.
fidèle|Personne sur qui on peut compter et qui reste loyal.
smartphone|Téléphone portable intelligent.
internet|Réseau mondial qui permet de communiquer.
réseaux sociaux|Plateformes comme Facebook ou Instagram.
intelligence artificielle|Programme qui imite l'intelligence humaine.
cloud|Stockage de données en ligne.
application|Programme utilisé sur un téléphone.
données|Informations stockées ou transmises.
streaming|Visionnage de vidéos sans téléchargement.
hacker|Personne qui s'introduit dans les systèmes informatiques.
abonnement|Paiement régulier pour un service.
routine|Habitudes qu'on répète chaque jour.
bricolage|Activité manuelle dans la maison.
jardin|Espace vert autour de la maison.
lecture|Activité de lire un livre.
balade|Promenade tranquille sans but précis.
ménage|Nettoyage de la maison.
courses|Achat de nourriture et de produits.
bricoler|Réparer ou construire quelque chose.
forêt|Grand espace boisé.
océan|Grande étendue d'eau salée.
maison|Lieu où on habite.
famille|Ensemble des parents et enfants.
mère|Femme qui a des enfants.
père|Homme qui a des enfants.
frère|Garçon né des mêmes parents.
sœur|Fille née des mêmes parents.
ami|Personne avec qui on a des liens affectifs.
enfant|Jeune personne.
adulte|Personne qui a atteint l'âge adulte.
vie|Période entre la naissance et la mort.
mort|Fin de la vie.
jour|Période de 24 heures.
nuit|Période d'obscurité entre le coucher et le lever du soleil.
semaine|Période de 7 jours.
mois|Division du calendrier.
année|Période de 365 jours.
soleil|Étoile qui éclaire la Terre.
lune|Satellite naturel de la Terre.
étoile|Corps céleste lumineux.
ciel|Espace au-dessus de nos têtes.
terre|Planète où nous vivons.
eau|Liquide transparent et vital.
feu|Flamme qui produit chaleur et lumière.
vent|Mouvement d'air.
neige|Précipitation de cristaux de glace.
pluie|Gouttes d'eau tombant du ciel.
chaleur|Température élevée.
froid|Température basse.
gens|Êtres humains.
homme|Être humain adulte de sexe masculin.
femme|Être humain adulte de sexe féminin.
main|Partie du corps au bout du bras.
pied|Partie du corps au bout de la jambe.
tête|Partie du corps contenant le cerveau.
cœur|Organe qui fait circuler le sang.
sang|Liquide rouge dans le corps.
corps|Ensemble physique d'une personne.
docteur|Personne qui soigne les gens.
hôpital|Lieu où on soigne les malades.
école|Lieu où on apprend.
professeur|Personne qui enseigne.
étudiant|Personne qui apprend.
écrire|Tracer des mots sur du papier.
parler|S'exprimer avec des mots.
entendre|Percevoir les sons.
voir|Percevoir avec les yeux.
toucher|Entrer en contact avec quelque chose.
sentir|Percevoir par l'odorat ou le toucher.
manger|Absorber de la nourriture.
boire|Avaler un liquide.
dormir|Être en état de repos.
marcher|Se déplacer à pied.
courir|Se déplacer vite à pied.
aller|Se déplacer vers un endroit.
venir|Se déplacer vers celui qui parle.
partir|Quitter un lieu.
revenir|Retourner à un endroit.
arriver|Parvenir à un endroit.
prendre|Saisir quelque chose.
donner|Offrir quelque chose à quelqu'un.
avoir|Posséder quelque chose.
être|Exister.
faire|Accomplir une action.
vouloir|Désirer quelque chose.
pouvoir|Avoir la capacité de faire.
devoir|Être obligé de faire.
savoir|Connaître ou être capable.
penser|Réfléchir avec son esprit.
croire|Être convaincu de quelque chose.
rire|Exprimer de la joie par un son.
pleurer|Verser des larmes.
sourire|Courber les lèvres pour montrer de la joie.
musique|Art des sons et des mélodies.
dessin|Image faite à la main.
couleur|Apparence des choses selon la lumière.
rouge|Couleur du sang.
bleu|Couleur du ciel.
vert|Couleur de la nature.
jaune|Couleur du soleil.
noir|Absence de couleur.
blanc|Couleur de la neige.
grand|Qui a une grande taille.
petit|Qui a une petite taille.
rapide|Qui va vite.
lent|Qui va doucement.
chaud|Qui a une température élevée.
fort|Qui a beaucoup de force.
faible|Qui a peu de force.
beau|Qui est agréable à regarder.
laid|Qui n'est pas beau.
bon|Qui a des qualités positives.
mauvais|Qui a des qualités négatives.
facile|Qui ne présente pas de difficulté.
difficile|Qui présente des difficultés.
clair|Bien éclairé.
sombre|Peu éclairé.
plein|Qui contient tout ce qu'il peut contenir.
vide|Qui ne contient rien.
long|Qui a une grande longueur.
court|Qui a une petite longueur.
temps|Durée mesurable.
espace|Étendue, endroit.
groupe|Ensemble de personnes.
société|Ensemble des gens qui vivent en communauté.
ville|Grande agglomération.
village|Petite agglomération.
rue|Espace public entre les maisons.
voiture|Véhicule à quatre roues.
bus|Gros véhicule pour transporter des gens.
train|Véhicule roulant sur des rails.
bateau|Moyen de transport sur l'eau.
écouter|Porter attention à un son.
lire|Déchiffrer un texte.
compter|Faire le calcul.
acheter|Acquérir quelque chose contre de l'argent.
vendre|Céder quelque chose contre de l'argent.
argent|Monnaie pour payer.
prix|Coût d'un objet.
travail|Activité professionnelle.
métier|Profession exercée.
entreprise|Organisation commerciale.
commerce|Activité de vendre.
tourisme|Activité de visiter des lieux.
voyage|Déplacement vers un autre lieu.
restaurant|Lieu où on mange.
nourriture|Ce qu'on mange pour se nourrir.
lait|Liquide blanc produit par les animaux.
poisson|Animal aquatique.
sucre|Aliment sucré.
sel|Substance pour relever le goût.
thé|Boisson chaude à base de feuilles.
bière|Boisson alcoolisée.
vin|Boisson fermentée à base de raisin.
football|Sport de ballon.
basket-ball|Sport de panier.
tennis|Sport de raquette.
natation|Sport aquatique.
jeu|Activité ludique.
joueur|Personne qui joue.
gagner|Remporter une compétition.
perdre|Être battu dans une compétition.
amour|Sentiment d'affection profonde.
bonheur|Sentiment de joie.
tristesse|Sentiment de peine.
colère|Sentiment d'énervement.
peur|Sentiment d'inquiétude.
espoir|Sentiment de confiance.
santé|État de bien-être.
médecine|Science des soins.
maladie|Altération de la santé.
vérité|Ce qui est vrai.
mensonge|Ce qui est faux.
liberté|Possibilité d'agir librement.
paix|Absence de conflit.
guerre|Conflit armé.
nature|Ensemble du monde sans l'homme.
animal|Être vivant non végétal.
arbre|Grande plante à tronc.
fleur|Partie colorée des plantes.
mer|Grande étendue d'eau salée.
printemps|Saison des fleurs.
été|Saison chaude.
automne|Saison des feuilles mortes.
hiver|Saison froide.
anniversaire|Date de naissance.
fête|Célébration.
bébé|Très jeune enfant.
monde|L'ensemble de la Terre et des humains.
accepter|Recevoir ou dire oui à quelque chose.
accompagner|Aller avec quelqu'un.
agir|Faire quelque chose.
aider|Apporter son soutien à quelqu'un.
aimer|Éprouver de l'affection.
allumer|Mettre en marche une lumière.
appeler|Contacter quelqu'un par téléphone.
apprendre|Acquérir des connaissances.
arrêter|Cesser de faire quelque chose.
asseoir|Se mettre sur une chaise.
attendre|Rester jusqu'à ce que quelque chose arrive.
avancer|Aller vers l'avant.
avertir|Prévenir, informer.
bâtir|Construire un bâtiment.
cacher|Mettre quelque chose à l'abri des regards.
changer|Modifier, rendre différent.
chasser|Pourchasser un animal.
choisir|Sélectionner parmi plusieurs options.
citer|Mentionner une source ou une personne.
commencer|Débuter une action.
conduire|Diriger un véhicule.
confirmer|Valider une information.
connaître|Savoir, être informé.
construire|Édifier, bâtir.
continuer|Poursuivre sans s'arrêter.
contrôler|Vérifier ou maîtriser.
convaincre|Persuader quelqu'un.
couvrir|Recouvrir d'une couche.
craindre|Avoir peur.
créer|Donner vie à quelque chose.
croître|Grandir, se développer.
